Región,Nombre de la campaña,ID de la campaña,País,Código de estado,Estado,Tipo,Segmentación,Fecha de inicio de la campaña,Fecha de finalización de la campaña,Importe del presupuesto de la campaña (convertido),Importe del presupuesto de la campaña,CPM (convertido),CPM,Ajuste de la puja por el top de búsquedas,Clics,CTR,Coste total (convertido),Coste total,CPC (convertido),CPC,Vistas de páginas de detalles del producto (nuevos para la marca),Añadir a la cesta,Añadir a la cesta (nuevos para la marca),Búsquedas de marca,Búsquedas de marca (nuevos para la marca),Vistas a la página de la Brand Store (nuevos para la marca),Compras,Ventas (convertido),Ventas,ROAS,Porcentaje de impresiones del top de búsquedas
EN PAUSA,Advertise Top Selling Items,A0807915N0VBA3W18JO0,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,coffe_uk,A06571611AC4TOT1JUGRC,Reino Unido,CAMPAIGN_PAUSED,En pausa,SP,MANUAL,03/02/2019,,"6,98 €","6,00 GBP",,,0,0,0,"0,00 €","0,00 GBP",,,0,0,0,0,0,0,0,"0,00 €","0,00 GBP",0,0
EN PAUSA,Advertise Catalog,A0961997MGMWLYCH4L95,Alemania,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,28/01/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Advertise Items with Low Traffic,A09618733QEPXK54YR6CP,Alemania,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,28/01/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Advertise Catalog,A00721862JT0JYDSLMFDU,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,28/01/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Advertise Items with Low Traffic,A0072030VA812QGJCOHG,Francia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,28/01/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,cafeteras,A01833332LV8VNVYOFW97,Reino Unido,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,28/01/2019,,"11,64 €","10,00 GBP",,,0,0,0,"0,00 €","0,00 GBP",,,0,0,0,0,0,0,0,"0,00 €","0,00 GBP",0,0
EN PAUSA,cafeteras inox,A09350011E086W4R6NTVD,Italia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,27/01/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,soporte,A0471660307337BQM07NH,Reino Unido,CAMPAIGN_PAUSED,En pausa,SP,MANUAL,28/01/2019,,"10,47 €","9,00 GBP",,,0,0,0,"0,00 €","0,00 GBP",,,0,0,0,0,0,0,0,"0,00 €","0,00 GBP",0,0
EN PAUSA,cafeteras_alemania,A09437172ACRIR8EFBIIY,Alemania,CAMPAIGN_PAUSED,En pausa,SP,MANUAL,27/01/2019,,"10,00 €","10,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Advertise Top Selling Items,A10230443OR57W9QSE0SV,Alemania,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"5,00 €","5,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
EN PAUSA,Advertise Catalog,A04665403CBFUB4MUIA1H,Reino Unido,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"11,64 €","10,00 GBP",,,0,0,0,"0,00 €","0,00 GBP",,,0,0,0,0,0,0,0,"0,00 €","0,00 GBP",0,0
EN PAUSA,Advertise Items with Low Traffic,A04664161B2N8QP9SWFA,Reino Unido,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"11,64 €","10,00 GBP",,,0,0,0,"0,00 €","0,00 GBP",,,0,0,0,0,0,0,0,"0,00 €","0,00 GBP",0,0
EN PAUSA,Advertise Catalog,A055912717RPROPOW4KCA,Italia,CAMPAIGN_PAUSED,En pausa,SP,AUTOMATIC,01/02/2019,,"4,00 €","4,00 €",,,0,0,0,"0,00 €","0,00 €",,,0,0,0,0,0,0,0,"0,00 €","0,00 €",0,0
