ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"43,846",668,0.71%,0.45%,"65,045","1,001",0.74%,0.47%,96.40%,96.65%,"5,546",175,12.65%,26.20%,"72.908,86 €","2.274,81 €","5,423",99
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"41,281","1,119",0.67%,0.76%,"65,554","1,851",0.74%,0.87%,99.42%,99.58%,"3,997",52,9.68%,4.65%,"100.750,91 €","1.257,75 €","3,306",26
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"120,119","2,662",1.94%,1.81%,"175,677","3,793",1.99%,1.79%,25.84%,8.99%,"3,665",32,3.05%,1.20%,"46.113,89 €","430,75 €","3,174",21
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"301,378","5,222",4.86%,3.55%,"415,015","7,445",4.70%,3.51%,12.52%,5.75%,"3,005",28,1.00%,0.54%,"29.088,23 €","265,43 €","2,840",26
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,V0020_PACK2,"12,839",635,0.21%,0.43%,"19,611",900,0.22%,0.42%,93.64%,77.88%,"3,080",304,23.99%,47.87%,"50.994,50 €","4.878,58 €","2,786",187
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"72,604","1,302",1.17%,0.88%,"101,340","1,766",1.15%,0.83%,99.37%,99.48%,"2,088",108,2.88%,8.29%,"62.533,37 €","3.197,57 €","2,022",76
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"98,064","1,320",1.58%,0.90%,"125,441","1,758",1.42%,0.83%,99.02%,99.70%,"1,972",4,2.01%,0.30%,"63.968,52 €","129,96 €","1,951",4
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"28,433",512,0.46%,0.35%,"44,891",735,0.51%,0.35%,67.87%,55.14%,"1,765",142,6.21%,27.73%,"26.946,45 €","2.015,33 €","1,631",50
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"72,604","1,302",1.17%,0.88%,"101,340","1,766",1.15%,0.83%,99.37%,99.48%,"1,448",120,1.99%,9.22%,"41.878,29 €","3.483,51 €","1,404",90
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"86,747","2,201",1.40%,1.49%,"127,732","3,305",1.45%,1.56%,17.22%,14.37%,"1,489",5,1.72%,0.23%,"24.979,23 €","83,45 €","1,389",5
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"41,281","1,119",0.67%,0.76%,"65,554","1,851",0.74%,0.87%,99.42%,99.58%,"1,712",287,4.15%,25.65%,"44.371,52 €","7.247,64 €","1,341",164
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"14,353",270,0.23%,0.18%,"21,663",421,0.25%,0.20%,97.98%,99.18%,"1,428",46,9.95%,17.04%,"14.708,46 €","475,38 €","1,304",30
B08NW1VQRT,B08NW1VQRT,CUPERINOX Navaja para Setas y Champiñones | Acero Inoxidable | Con Cepillo y Funda Incluida | Micológica,2181,"8,816",151,0.14%,0.10%,"12,730",228,0.14%,0.11%,99.10%,99.19%,"1,306",30,14.81%,19.87%,"12.972,37 €","308,38 €","1,162",27
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"21,424",391,0.35%,0.27%,"29,102",495,0.33%,0.23%,98.98%,100.00%,"1,129",45,5.27%,11.51%,"29.301,76 €","1.155,59 €","1,113",31
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"36,066","1,270",0.58%,0.86%,"64,891","2,379",0.74%,1.12%,99.32%,99.74%,"1,107",28,3.07%,2.20%,"93.403,03 €","2.240,84 €","1,093",27
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900fbm,"98,064","1,320",1.58%,0.90%,"125,441","1,758",1.42%,0.83%,99.02%,99.70%,"1,063",115,1.08%,8.71%,"33.155,92 €","3.660,55 €","1,025",100
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624_fbm,"15,349",354,0.25%,0.24%,"19,189",424,0.22%,0.20%,99.24%,99.57%,"1,032",43,6.72%,12.15%,"14.086,39 €","580,14 €","1,006",41
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,"8,878",228,0.14%,0.15%,"12,484",331,0.14%,0.16%,89.40%,87.18%,"1,021",80,11.50%,35.09%,"9.402,70 €","731,99 €",968,60
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"15,791",395,0.25%,0.27%,"18,950",459,0.21%,0.22%,73.89%,79.15%,948,25,6.00%,6.33%,"7.158,83 €","183,28 €",922,23
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_,"36,066","1,270",0.58%,0.86%,"64,891","2,379",0.74%,1.12%,99.32%,99.74%,874,82,2.42%,6.46%,"76.421,55 €","6.967,35 €",862,78
