ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"28,392","1,648",0.72%,1.56%,"41,147","2,310",0.74%,1.54%,97.77%,96.39%,"6,906",992,24.32%,60.19%,"118.170,52 €","16.508,61 €","6,011",618
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"149,816","2,558",3.82%,2.42%,"202,078","3,591",3.64%,2.39%,14.77%,13.51%,"2,178",99,1.45%,3.87%,"21.708,66 €","982,09 €","2,026",76
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"59,999","1,468",1.53%,1.39%,"86,568","2,050",1.56%,1.36%,36.91%,18.74%,"2,202",12,3.67%,0.82%,"25.961,57 €","155,21 €","1,942",5
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"29,087",724,0.74%,0.69%,"43,608","1,106",0.78%,0.74%,99.64%,99.47%,"1,991",43,6.84%,5.94%,"53.082,82 €","1.214,17 €","1,643",18
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"50,140",993,1.28%,0.94%,"71,713","1,383",1.29%,0.92%,99.31%,98.65%,"1,602",58,3.20%,5.84%,"47.844,40 €","1.715,71 €","1,579",53
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"50,140",993,1.28%,0.94%,"71,713","1,383",1.29%,0.92%,99.31%,98.65%,"1,389",99,2.77%,9.97%,"41.547,18 €","2.924,10 €","1,358",86
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"9,923",147,0.25%,0.14%,"14,626",218,0.26%,0.15%,89.76%,81.75%,"1,341",32,13.51%,21.77%,"18.582,73 €","433,71 €","1,325",27
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"25,571",733,0.65%,0.69%,"46,189","1,371",0.83%,0.91%,99.15%,98.75%,"1,216",34,4.76%,4.64%,"105.946,11 €","2.909,66 €","1,203",30
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"22,564",402,0.57%,0.38%,"31,575",545,0.57%,0.36%,99.86%,99.39%,"1,093",26,4.84%,6.47%,"35.810,13 €","851,84 €","1,075",24
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"59,999","1,468",1.53%,1.39%,"86,568","2,050",1.56%,1.36%,36.91%,18.74%,"1,228",105,2.05%,7.15%,"14.790,12 €","1.263,88 €",997,73
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"15,291",334,0.39%,0.32%,"24,688",519,0.44%,0.35%,62.88%,58.31%,"1,022",39,6.68%,11.68%,"16.115,52 €","592,75 €",982,35
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"13,321",382,0.34%,0.36%,"16,812",474,0.30%,0.32%,88.08%,90.76%,"1,037",83,7.78%,21.73%,"7.862,73 €","622,79 €",966,51
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"15,321",283,0.39%,0.27%,"20,303",361,0.37%,0.24%,99.29%,99.58%,879,19,5.74%,6.71%,"22.676,19 €","484,79 €",869,19
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"10,461",185,0.27%,0.18%,"15,588",277,0.28%,0.18%,87.48%,90.32%,866,23,8.28%,12.43%,"10.318,62 €","275,77 €",855,22
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,"5,391",187,0.14%,0.18%,"7,553",262,0.14%,0.17%,91.54%,65.54%,822,34,15.25%,18.18%,"7.535,54 €","305,91 €",798,29
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"67,759","1,937",1.73%,1.83%,"97,456","2,813",1.75%,1.87%,12.24%,6.99%,831,6,1.23%,0.31%,"13.946,15 €","101,94 €",788,2
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"13,703",231,0.35%,0.22%,"19,237",327,0.35%,0.22%,91.58%,98.84%,835,33,6.09%,14.29%,"8.727,26 €","344,35 €",771,26
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"29,087",724,0.74%,0.69%,"43,608","1,106",0.78%,0.74%,99.64%,99.47%,"1,025",215,3.52%,29.70%,"27.150,34 €","5.451,40 €",763,89
B0FJLTDB9J,B09RP6V156,"CUPERINOX® Alicates para pedicura, Profesional, Cortaúñas de Pies, Acero Inoxidable, Mango Ergonómico Antideslizante, Fácil Limpieza, Con Funda, 2 Años de Garantía",21920AM,"7,202",145,0.18%,0.14%,"10,649",216,0.19%,0.14%,92.83%,97.90%,764,72,10.61%,49.66%,"8.233,05 €","662,17 €",689,42
B0F4WTVT1Z,B09GPS4SQN,"HENDI Pasta combustible para Chafing Dish, 12 x 200 g",H194362,"6,735",419,0.17%,0.40%,"9,991",592,0.18%,0.39%,81.56%,69.53%,748,106,11.11%,25.30%,"14.905,65 €","2.085,74 €",630,78
B06XD39V8J,B06XD39V8J,VINFERMATON – Insecticida Cucarachas y Hormigas Residual 400 ml | Spray Efecto Duradero para Interior y Exterior | Profesional Doméstico | 100 % MADE IN SPAIN,V0012_,"5,629",167,0.14%,0.16%,"8,151",235,0.15%,0.16%,47.30%,35.29%,795,70,14.12%,41.92%,"6.066,89 €","522,71 €",602,27
