ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON – Insecticida Avispas y Avisperos Exterior Pack 2×600 ml | Antiavispas | Alcance hasta 4 m | Acción Inmediata Profesional | 100% MADE IN SPAIN,AVISPAS_PACK_2,"29,950","1,731",0.70%,1.50%,"43,391","2,419",0.72%,1.48%,97.85%,96.46%,"7,178","1,033",23.97%,59.68%,"122.765,82 €","17.160,38 €","6,243",642
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"63,763","1,587",1.49%,1.38%,"92,097","2,229",1.53%,1.36%,38.49%,20.17%,"2,415",13,3.79%,0.82%,"28.517,64 €","169,20 €","2,140",6
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"162,683","2,844",3.81%,2.47%,"219,416","3,992",3.63%,2.44%,14.00%,12.11%,"2,244",99,1.38%,3.48%,"22.383,72 €","982,09 €","2,088",76
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_fba,"30,852",770,0.72%,0.67%,"46,378","1,180",0.77%,0.72%,99.63%,99.51%,"2,206",44,7.15%,5.71%,"58.829,20 €","1.244,17 €","1,834",19
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800,"54,028","1,060",1.27%,0.92%,"77,239","1,469",1.28%,0.90%,99.33%,98.75%,"1,721",65,3.19%,6.13%,"51.415,03 €","1.925,46 €","1,698",60
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"54,028","1,060",1.27%,0.92%,"77,239","1,469",1.28%,0.90%,99.33%,98.75%,"1,498",106,2.77%,10.00%,"44.815,46 €","3.133,40 €","1,466",93
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"10,411",153,0.24%,0.13%,"15,322",227,0.25%,0.14%,90.21%,82.76%,"1,400",33,13.45%,21.57%,"19.368,75 €","447,19 €","1,383",28
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"26,918",778,0.63%,0.68%,"48,539","1,437",0.80%,0.88%,99.12%,98.81%,"1,264",34,4.70%,4.37%,"110.265,63 €","2.909,66 €","1,251",30
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900,"24,202",436,0.57%,0.38%,"33,868",584,0.56%,0.36%,99.86%,98.89%,"1,207",29,4.99%,6.65%,"39.571,50 €","950,78 €","1,188",27
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"63,763","1,587",1.49%,1.38%,"92,097","2,229",1.53%,1.36%,38.49%,20.17%,"1,402",122,2.20%,7.69%,"16.874,30 €","1.465,63 €","1,151",84
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300,"14,693",408,0.34%,0.35%,"18,455",503,0.31%,0.31%,88.74%,90.68%,"1,176",85,8.00%,20.83%,"8.903,50 €","637,77 €","1,102",53
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"17,918",388,0.42%,0.34%,"28,949",605,0.48%,0.37%,55.36%,52.04%,"1,074",44,5.99%,11.34%,"16.930,41 €","662,69 €","1,030",36
B09DYJY471,B08MQJCD2V,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (4 Piezas),816900,"16,898",303,0.40%,0.26%,"22,534",385,0.37%,0.24%,99.33%,98.48%,989,25,5.85%,8.25%,"25.531,01 €","640,73 €",979,25
B0G6M1C8V6,B0D4WK78XV,CUPERINOX Aceiteras para Aceite Usado | Grasera Acero Inoxidable 550ML con Filtro Metálico | Recipiente para Aceite Usado de Cocina y Grasa | Grasera Cocina Metálica 550ML 2Uds Metálico,F22105-22106,"11,678",199,0.27%,0.17%,"17,380",296,0.29%,0.18%,88.82%,90.75%,984,26,8.43%,13.07%,"11.730,88 €","311,74 €",970,25
