ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0BDVR6SKP,B089QP6MYJ,Arcos Fleischmesser-Set | 6 Stück | Steakmesser | Steakbesteck | Edelstahl-Besteck | Klinge 110 mm | Monoblock-Griff | Spülmaschinenfest | umweltfreundliche Verpackung,815600_fba,"6,252",131,5.52%,3.84%,"9,451",231,5.95%,4.53%,99.26%,98.60%,730,52,11.68%,39.69%,"18.878,77 €","1.244,86 €",608,33
B0DNR72NQZ,B0DNN4J6Q8,"CUPERINOX Ölflasche aus Glas, tropfsicher, für Olivenöl, 125 ml, Glasflasche für Olivenöl und Essig",22021,"3,206",64,2.83%,1.88%,"4,565",87,2.87%,1.71%,99.83%,100.00%,468,22,14.60%,34.38%,"5.392,15 €","228,13 €",334,12
B0BR2RV9XM,B08G4D9718,Arcos Küchenmesser-Set | 3 Schälermesser | Spitzenmesser | obstmesser & gemüsemesser | Kartoffelschälmesser | Nitrum Edelstahl | Ökologische Verpackung | Spülmaschinenfest,816700_francia,"3,826",110,3.38%,3.23%,"5,171",164,3.26%,3.22%,99.70%,98.17%,343,30,8.96%,27.27%,"3.284,97 €","278,21 €",308,18
B0DVZ4PP1V,B0DT6ZPGVQ, ,27008,"2,006",16,1.77%,0.47%,"2,816",20,1.77%,0.39%,99.85%,90.00%,209,2,10.42%,12.50%,"2.534,43 €","25,98 €",204,2
B08NW1VQRT,B08NW1VQRT,CUPERINOX pilzmesser mit bürste | schwammerlmesser mit pinsel | pilzmesser | pilzpinsel | klappmesser | taschenmesser,2181,"1,001",10,0.88%,0.29%,"1,382",18,0.87%,0.35%,95.68%,100.00%,194,2,19.38%,20.00%,"1.929,84 €","17,30 €",165,2
B0DNR72NQZ,B0DNN57WC1,"CUPERINOX Ölflasche aus Glas mit Antitropffunktion für Olivenöl, beständig und leicht zu reinigen, Gourmet Oil Kollektion (250 ml)",22022,"1,060",30,0.94%,0.88%,"1,525",47,0.96%,0.92%,99.92%,100.00%,191,6,18.02%,20.00%,"2.199,83 €","64,31 €",163,5
B0BR2RV9XM,B08LVVQ3ZQ,"Arcos Serie Nova Schälmesser, Nitrum-Edelstahl, umweltfreundliche Verpackung, 3 Farben Fuchsia, Türkis und Gelb",703700_,"1,000",32,0.88%,0.94%,"1,336",45,0.84%,0.88%,98.26%,100.00%,165,17,16.50%,53.13%,"1.724,28 €","151,88 €",151,8
B0843Q6L5P,B0843Q6L5P,ARCOS Sparschäler Edelstahl Silber 130 mm,607000_etq,"1,361",22,1.20%,0.65%,"1,948",32,1.23%,0.63%,63.94%,77.78%,158,9,11.61%,40.91%,"894,33 €","43,47 €",136,5
B0DNR72NQZ,B0DNNF3839,"CUPERINOX Tropfsichere Glas-Ölflasche für Olivenöl, robust und leicht zu reinigen Gourmet Oil Collection (1000 ml)",22024,704,7,0.62%,0.21%,958,7,0.60%,0.14%,99.88%,100.00%,134,0,19.03%,0.00%,"2.186,01 €","0,00 €",124,0
B00YU2YTTM,B00YU2YTTM,"CUPERINOX Italienischer Espressokocher aus Edelstahl, Induktion, 4 Tassen",25032,962,11,0.85%,0.32%,"1,463",18,0.92%,0.35%,99.37%,100.00%,99,4,10.29%,36.36%,"1.271,02 €","45,38 €",96,3
