ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09DTG7BX6,B089QP6MYJ,Arcos Lot de 6 couteaux à steak en acier inoxydable | Couteau Steak | Couteau Arcos | Lave vaiselle avec manche monobloc | Monobloc,815600_fba,"17,901",371,5.97%,4.75%,"28,229",613,6.65%,5.53%,99.82%,100.00%,"2,154",189,12.03%,50.94%,"60.089,02 €","4.976,54 €","1,639",73
B0D2WWWPQW,B0CQTKPL63,CUPERINOX Couteaux à viande | Couteaux de table | Couteaux à steak | 24 pièces | Lame sciée | Manche en polypropylène | Acier inoxydable | 11 cm |,99923,"13,721",490,4.58%,6.27%,"18,257",666,4.30%,6.01%,96.35%,94.67%,"1,961",328,14.29%,66.94%,"38.081,66 €","5.972,19 €","1,208",170
B0D2WWWPQW,B0CQTJ6T66,"CUPERINOX Lot de 12 couteaux à steak avec lame dentelée, manche en polypropylène, acier inoxydable, 11 cm, lavable au lave-vaisselle",99922,"8,278",296,2.76%,3.79%,"11,130",381,2.62%,3.44%,96.15%,95.22%,"1,307",134,15.79%,45.27%,"15.081,70 €","1.421,48 €","1,148",80
B0924MCWXF,B08G4D9718,Arcos couteau cuisine | eplucheur légumes | couteaux de cuisine | couteau à légumes | couteau fruit | set couteau cuisine | couteaux d’office,816700_francia,"6,962",180,2.32%,2.30%,"9,919",247,2.34%,2.23%,96.54%,97.06%,"1,292",115,18.56%,63.89%,"12.983,01 €","1.068,71 €","1,123",78
B0812BKN39,B0812BKN39,ARCOS Ensemble de 3 Couteaux d'Office Acier Inoxydable,859800_barras_arcos,"17,271",517,5.76%,6.62%,"23,657",710,5.57%,6.41%,29.07%,33.33%,"1,092",117,6.32%,22.63%,"11.272,25 €","1.087,59 €",941,70
B08NW1VQRT,B08NW1VQRT,CUPERINOX Couteau à Champignons | Acier Inoxydable | Brosse de Nettoyage et Pochette de Protection Incluses | Couteau Mycologique,2181,"3,530",36,1.18%,0.46%,"4,988",46,1.17%,0.42%,97.88%,96.88%,915,6,25.92%,16.67%,"9.514,00 €","59,44 €",813,5
B0924MCWXF,B08LVVQ3ZQ,"Arcos Serie Nova - Couteau à peler, Acier Inoxydable Nitrum, Emballage écologique, 3 Couleurs Fuchsia, Turquoise et Jaune",703700_,"2,661",62,0.89%,0.79%,"3,707",87,0.87%,0.79%,99.37%,96.15%,585,36,21.98%,58.06%,"6.307,81 €","338,18 €",507,28
B09DTG7BX6,B0987N2CBR,Arcos Lot de 6 couteaux à steak | couteaux à steak | lame 110 mm | manche monobloc | Passe au lave-vaisselle | Boîte d'emballage écologique,814000_fba,"4,787",70,1.60%,0.90%,"6,807",98,1.60%,0.88%,99.52%,100.00%,493,22,10.30%,31.43%,"14.515,24 €","579,78 €",371,8
B072FGV2YH,B072FGV2YH,Arcos Lot de 6 Couteaux d'Office. Lame 100 mm Acier Inoxydable. Manche Polypropylène. Couteaux de Cuisine Éplucheurs. Compatible Lave-Vaisselle. Série Nova. Couleur Noire,189100,"10,150",431,3.39%,5.52%,"14,069",570,3.31%,5.14%,22.95%,1.45%,327,4,3.22%,0.93%,"5.871,48 €","62,96 €",278,3
B08G8QHY23,B08G8QHY23,Arcos Lot de 6 couteaux à steak arcs à manche bois et emballage recyclé,809300_,"4,173",122,1.39%,1.56%,"5,923",183,1.39%,1.65%,95.74%,95.68%,470,93,11.26%,76.23%,"12.421,58 €","2.328,89 €",247,23
B0843Q6L5P,B0843Q6L5P,ARCOS Éplucheur Professionnel Acier Inoxydable 130 mm,607000_etq,"5,002",142,1.67%,1.82%,"7,026",194,1.65%,1.75%,34.54%,49.06%,283,38,5.66%,26.76%,"1.739,45 €","211,62 €",242,24
B0D2WWWPQW,B0CQRMMMR5,CUPERINOX Couteaux à viande | Couteaux de table | Couteaux à steak | Manche en polypropylène | Acier inoxydable | 11 cm | Passe au lave-vaisselle… (6),99921,"2,069",57,0.69%,0.73%,"2,620",64,0.62%,0.58%,97.09%,93.02%,266,19,12.86%,33.33%,"2.633,38 €","179,79 €",236,16
B09LR41V1Z,B095C22QFS,Arcos Couteau à Jambon Professionnel Alvéolé | Couteaux Cuisine Professionnels | Acier Inoxydable Nitrum 240 mm,151811,"2,601",73,0.87%,0.93%,"3,889",103,0.92%,0.93%,96.43%,92.21%,255,8,9.80%,10.96%,"4.987,52 €","138,27 €",235,7
B0CL9ZVTLR,B09G9WBKPG,ARCOS Set de Couteaux à Steak Acier Inoxydable 110 mm,705500,"13,501",368,4.50%,4.71%,"19,037",539,4.48%,4.86%,21.13%,8.28%,210,1,1.56%,0.27%,"2.777,20 €","11,04 €",200,1
B0843Q6L5P,B0843Q6L5P,ARCOS Éplucheur Professionnel Acier Inoxydable 130 mm,607000_etq1,"5,002",142,1.67%,1.82%,"7,026",194,1.65%,1.75%,34.54%,49.06%,224,9,4.48%,6.34%,"1.563,42 €","60,31 €",199,4
B007TS6HMQ,B007TS6HMQ,Pinces à Poisson en Acier Inoxydable Nitrum - Série Gadgets. Retire Presque Toutes les Arêtes de Poisson. Couleur Grise,605000_caja,"1,036",35,0.35%,0.45%,"1,381",69,0.33%,0.62%,84.85%,59.38%,209,21,20.17%,60.00%,"1.956,89 €","174,29 €",196,16
B078JNNC71,B00YU2ZWGG,CUPERINOX - Cafetière Italienne Induction 10 Tasses Inox Tous Feux,25034,"3,463",30,1.16%,0.38%,"5,099",48,1.20%,0.43%,92.60%,56.00%,196,0,5.66%,0.00%,"4.272,39 €","0,00 €",194,0
B089M821V5,B089M821V5,Arcos Lot de 6 Couteaux à Viande | Couteaux de Table Avec Scie | Manche en Bois | Lame 110 mm | Emballage Carton Écologique,815500_,"4,142",92,1.38%,1.18%,"5,626",140,1.32%,1.26%,99.80%,98.98%,267,40,6.45%,43.48%,"7.730,75 €","1.179,85 €",181,14
B0812P3LZT,B0812P3LZT,Arcos Nova - Ensemble 3 Couteaux à beurre - Acier Inoxydable 70 mm - Manche en 3 couleurs,859900_,"1,479",17,0.49%,0.22%,"2,000",25,0.47%,0.23%,91.66%,50.00%,178,7,12.04%,41.18%,"2.007,44 €","76,98 €",167,4
B096Z98SF8,B08MTXC14T,Arcos Lot de 6 couteaux à steak en acier inoxydable Lame de 110 mm Manche rond et forme ovale Monobloc Boîte écologique,809900,"2,338",43,0.78%,0.55%,"3,625",56,0.85%,0.51%,99.22%,100.00%,205,11,8.77%,25.58%,"7.090,85 €","349,91 €",167,7
B09RP6V156,B09RP6V156,"Pince pour pédicure, professionnelle, coupe-ongles pour pieds, acier inoxydable, manche ergonomique antidérapant, nettoyage facile, avec housse, 2 ans de garantie (pince)",21920AM_fba,982,9,0.33%,0.12%,"1,365",12,0.32%,0.11%,98.38%,90.00%,162,3,16.50%,33.33%,"1.545,18 €","25,80 €",154,3
B09KLZ928M,B08KW4BFZ9,CUPERINOX Support à Jambon | Support Jambon cru | Support Jambon | Bois de Haute qualité | Porte Jambon,20200_premium,"1,020",18,0.34%,0.23%,"1,479",19,0.35%,0.17%,91.38%,75.00%,143,1,14.02%,5.56%,"2.646,16 €","18,99 €",141,1
