ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B0D2WWWPQW,B0CQTJ6T66,"CUPERINOX Lot de 12 couteaux à steak avec lame dentelée, manche en polypropylène, acier inoxydable, 11 cm, lavable au lave-vaisselle",99922,"12,522",433,6.60%,7.21%,"17,345",602,6.41%,7.12%,97.53%,97.02%,"3,285",326,26.23%,75.29%,"38.869,52 €","3.484,70 €","2,498",199
B09DTG7BX6,B089QP6MYJ,Arcos Lot de 6 couteaux à steak en acier inoxydable | Couteau Steak | Couteau Arcos | Lave vaiselle avec manche monobloc | Monobloc,815600_fba,"8,178",211,4.31%,3.51%,"13,074",335,4.83%,3.96%,99.50%,98.77%,"1,094",162,13.38%,76.78%,"30.692,07 €","4.029,01 €",786,44
B0D2WWWPQW,B0CQTKPL63,CUPERINOX Couteaux à viande | Couteaux de table | Couteaux à steak | 24 pièces | Lame sciée | Manche en polypropylène | Acier inoxydable | 11 cm |,99923,"8,191",379,4.31%,6.31%,"11,537",521,4.27%,6.16%,76.98%,80.18%,"1,226",247,14.97%,65.17%,"23.823,57 €","4.413,55 €",758,121
B0843Q6L5P,B0843Q6L5P,ARCOS Éplucheur Professionnel Acier Inoxydable 130 mm,607000_etq1,"1,774",37,0.93%,0.62%,"2,419",50,0.89%,0.59%,84.26%,91.67%,457,27,25.76%,72.97%,"3.062,34 €","161,93 €",402,15
B0FDL4Q2JB,B0FDL4Q2JB,VINFERMATON Insecticide Guêpes et Frelons Extérieur Pack 2×600 ml | Anti-guêpes | Portée jusqu'à 4 m | Action Immédiate Professionnelle,V020_FR,"2,608",97,1.37%,1.61%,"3,339",129,1.23%,1.52%,96.47%,95.10%,292,35,11.20%,36.08%,"7.759,58 €","823,15 €",273,29
B0924MCWXF,B08G4D9718,Arcos couteau cuisine | eplucheur légumes | couteaux de cuisine | couteau à légumes | couteau fruit | set couteau cuisine | couteaux d’office,816700_francia,"1,162",21,0.61%,0.35%,"1,734",28,0.64%,0.33%,92.14%,95.83%,264,12,22.72%,57.14%,"2.679,93 €","109,32 €",235,9
B0812BKN39,B0812BKN39,ARCOS Ensemble de 3 Couteaux d'Office Acier Inoxydable,859800_barras_arcos,"4,760",143,2.51%,2.38%,"6,536",187,2.42%,2.21%,20.85%,29.31%,271,29,5.69%,20.28%,"2.807,31 €","270,82 €",229,21
B0CL9ZVTLR,B09G9WBKPG,ARCOS Set de Couteaux à Steak Acier Inoxydable 110 mm,705500(805109),"7,553",238,3.98%,3.96%,"10,558",324,3.90%,3.83%,20.04%,15.04%,230,21,3.05%,8.82%,"2.870,25 €","234,77 €",193,9
B072FGV2YH,B072FGV2YH,Arcos Lot de 6 Couteaux d'Office. Lame 100 mm Acier Inoxydable. Manche Polypropylène. Couteaux de Cuisine Éplucheurs. Compatible Lave-Vaisselle. Série Nova. Couleur Noire,189100,"6,502",376,3.42%,6.26%,"9,251",504,3.42%,5.96%,16.94%,0.96%,179,3,2.75%,0.80%,"3.217,36 €","50,97 €",156,3
B09DTG7BX6,B0987N2CBR,Arcos Lot de 6 couteaux à steak | couteaux à steak | lame 110 mm | manche monobloc | Passe au lave-vaisselle | Boîte d'emballage écologique,814000_fba,"2,418",64,1.27%,1.07%,"3,354",91,1.24%,1.08%,98.78%,98.28%,208,9,8.60%,14.06%,"6.174,71 €","252,65 €",154,5
B0H2YQDY5T,B0812BKN39,ARCOS Ensemble de 3 Couteaux d'Office Acier Inoxydable,859800_barras_arcos,"3,956",124,2.08%,2.06%,"5,471",162,2.02%,1.91%,17.73%,7.81%,157,9,3.97%,7.26%,"1.624,27 €","84,02 €",137,5
B00I9XTLSC,B00I9XTLSC,ARCOS Aiguiseur Professionnel avec Poignée Ergonomique pour Couteaux. Rouleaux en Céramique et Carbone. Rouge/Noir,610600,"3,813",74,2.01%,1.23%,"5,151",98,1.90%,1.16%,27.39%,2.99%,133,0,3.49%,0.00%,"1.992,30 €","0,00 €",132,0
