Panel de ventas
Última actualización,September 03 2026 6:53:17 PM CEST

Filtrar selección
Fecha,Custom
Desglose de ventas,Total del sitio web de Amazon
Canal de gestión logística,Ambos (Amazon y vendedor)

Instantánea de ventas
Total de artículos de un pedido,Unidades encargadas,Ventas de productos encargados,Promedio de unidades/artículo de un pedido,Promedio de ventas/artículo de un pedido
14088,17208,"328.883,06 €",1.22,23.34
Comparar ventas - Vista de gráfico
Hora,Intervalo de fechas seleccionado (Ventas de productos encargados),Intervalo de fechas seleccionado (Unidades pedidas)
2025-01-01T00:00:00,"275,85 €",18.0
2025-01-02T00:00:00,"473,23 €",29.0
2025-01-03T00:00:00,"200,88 €",16.0
2025-01-04T00:00:00,"384,09 €",29.0
2025-01-05T00:00:00,"459,35 €",33.0
2025-01-06T00:00:00,"686,18 €",38.0
2025-01-07T00:00:00,"481,75 €",23.0
2025-01-08T00:00:00,"606,35 €",31.0
2025-01-09T00:00:00,"479,98 €",29.0
2025-01-10T00:00:00,"293,72 €",18.0
2025-01-11T00:00:00,"583,03 €",27.0
2025-01-12T00:00:00,"1.212,15 €",56.0
2025-01-13T00:00:00,"401,95 €",24.0
2025-01-14T00:00:00,"638,83 €",33.0
2025-01-15T00:00:00,"674,57 €",33.0
2025-01-16T00:00:00,"968,47 €",46.0
2025-01-17T00:00:00,"297,40 €",16.0
2025-01-18T00:00:00,"874,16 €",42.0
2025-01-19T00:00:00,"1.164,06 €",63.0
2025-01-20T00:00:00,"845,67 €",36.0
2025-01-21T00:00:00,"977,23 €",42.0
2025-01-22T00:00:00,"788,07 €",40.0
2025-01-23T00:00:00,"635,46 €",34.0
2025-01-24T00:00:00,"756,80 €",28.0
2025-01-25T00:00:00,"973,64 €",49.0
2025-01-26T00:00:00,"702,86 €",35.0
2025-01-27T00:00:00,"836,63 €",38.0
2025-01-28T00:00:00,"1.159,57 €",58.0
2025-01-29T00:00:00,"763,47 €",39.0
2025-01-30T00:00:00,"564,23 €",30.0
2025-01-31T00:00:00,"825,89 €",35.0
2025-02-01T00:00:00,"731,14 €",35.0
2025-02-02T00:00:00,"1.110,69 €",54.0
2025-02-03T00:00:00,"637,76 €",36.0
2025-02-04T00:00:00,"819,68 €",37.0
2025-02-05T00:00:00,"610,62 €",26.0
2025-02-06T00:00:00,"500,96 €",24.0
2025-02-07T00:00:00,"624,61 €",33.0
2025-02-08T00:00:00,"619,42 €",25.0
2025-02-09T00:00:00,"742,60 €",28.0
2025-02-10T00:00:00,"1.128,50 €",53.0
2025-02-11T00:00:00,"513,41 €",25.0
2025-02-12T00:00:00,"1.092,46 €",53.0
2025-02-13T00:00:00,"528,86 €",25.0
2025-02-14T00:00:00,"783,78 €",41.0
2025-02-15T00:00:00,"896,66 €",48.0
2025-02-16T00:00:00,"764,43 €",34.0
2025-02-17T00:00:00,"762,48 €",41.0
2025-02-18T00:00:00,"704,50 €",48.0
2025-02-19T00:00:00,"1.171,38 €",65.0
2025-02-20T00:00:00,"1.604,61 €",81.0
2025-02-21T00:00:00,"600,06 €",36.0
2025-02-22T00:00:00,"1.402,95 €",76.0
2025-02-23T00:00:00,"968,49 €",57.0
2025-02-24T00:00:00,"1.185,96 €",71.0
2025-02-25T00:00:00,"908,06 €",44.0
2025-02-26T00:00:00,"982,53 €",48.0
2025-02-27T00:00:00,"1.081,36 €",52.0
2025-02-28T00:00:00,"940,76 €",48.0
2025-03-01T00:00:00,"611,77 €",35.0
2025-03-02T00:00:00,"995,97 €",48.0
2025-03-03T00:00:00,"790,63 €",44.0
2025-03-04T00:00:00,"1.078,26 €",55.0
2025-03-05T00:00:00,"1.342,39 €",71.0
2025-03-06T00:00:00,"1.103,28 €",61.0
2025-03-07T00:00:00,"747,93 €",46.0
2025-03-08T00:00:00,"971,92 €",44.0
2025-03-09T00:00:00,"1.453,11 €",82.0
2025-03-10T00:00:00,"1.224,22 €",64.0
2025-03-11T00:00:00,"737,66 €",50.0
2025-03-12T00:00:00,"1.028,70 €",61.0
2025-03-13T00:00:00,"772,22 €",45.0
2025-03-14T00:00:00,"554,50 €",35.0
2025-03-15T00:00:00,"990,36 €",50.0
2025-03-16T00:00:00,"1.234,68 €",67.0
2025-03-17T00:00:00,"770,81 €",38.0
2025-03-18T00:00:00,"919,79 €",64.0
2025-03-19T00:00:00,"939,92 €",47.0
2025-03-20T00:00:00,"905,63 €",52.0
2025-03-21T00:00:00,"792,84 €",50.0
2025-03-22T00:00:00,"921,03 €",56.0
2025-03-23T00:00:00,"1.280,33 €",74.0
2025-03-24T00:00:00,"818,02 €",54.0
2025-03-25T00:00:00,"1.159,67 €",67.0
2025-03-26T00:00:00,"938,01 €",63.0
