Panel de ventas
Última actualización,September 03 2026 6:52:59 PM CEST

Filtrar selección
Fecha,Último año - septiembre 03 2026
Desglose de ventas,Total del sitio web de Amazon
Canal de gestión logística,Ambos (Amazon y vendedor)

Instantánea de ventas
Total de artículos de un pedido,Unidades encargadas,Ventas de productos encargados,Promedio de unidades/artículo de un pedido,Promedio de ventas/artículo de un pedido
8544,10816,"200.635,39 €",1.27,23.48
Comparar ventas - Vista de gráfico
Hora,Lo que llevamos de año (Ventas de productos encargados),Lo que llevamos de año (Unidades pedidas),Año pasado (Ventas de productos encargados),Año pasado (Unidades pedidas)
ene,"15.112,38 €",741.0,"20.985,52 €",1068.0
feb,"18.923,01 €",941.0,"24.418,72 €",1244.0
Mar,"23.917,39 €",1248.0,"29.743,45 €",1693.0
Abr,"18.052,16 €",973.0,"29.696,35 €",1637.0
may,"26.544,83 €",1491.0,"28.802,84 €",1492.0
Jun,"33.968,31 €",2047.0,"23.222,40 €",1248.0
jul,"30.031,70 €",1535.0,"28.242,07 €",1508.0
Ago,"31.172,19 €",1684.0,"23.091,46 €",1094.0
Sep,"2.913,42 €",156.0,"22.143,39 €",1128.0
Oct,,,"24.866,49 €",1311.0
nov,,,"35.959,76 €",1881.0
dic,,,"37.710,60 €",1904.0
Comparar ventas - Vista de tabla
,Total de artículos de un pedido,Unidades encargadas,Ventas de productos encargados,Promedio de unidades/artículo de un pedido,Promedio de ventas/artículo de un pedido
Lo que llevamos de año,8544,10816,"200.635,39 €",1.27,23.48
Año pasado,14088,17208,"328.883,06 €",1.22,23.34
% de cambio a partir de año pasado,-3%,-2%,-4.79%,1.5999985%,-1.4687384%
Este año a través de 9/3/26 18:00 CEST,8540,10812,"200.530,44 €",1.27,23.48
Año pasado a través de 9/3/25 18:00 CEST,8840,11091,"210.624,33 €",1.25,23.83
