ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B08NW1VQRT,B08NW1VQRT,"CUPERINOX coltello per funghi, in acciaio inox, con custodia, coltello incluso, coltello micologica",2181,"14,507",216,3.86%,1.86%,"20,754",294,3.92%,1.76%,99.66%,99.00%,"2,539",52,17.50%,24.07%,"26.815,64 €","453,99 €","2,311",46
B0DNR9WPC6,B0DNN57WC1,"CUPERINOX Oliera in Vetro Antigoccia per Olio d'Oliva, Resistente e Facile da Pulire Collezione Gourmet Oil (250 ml)",22022,"14,617",351,3.89%,3.02%,"21,596",480,4.08%,2.88%,99.86%,100.00%,"2,255",110,15.43%,31.34%,"26.241,31 €","1.082,10 €","1,972",66
B01N1S7I00,B00YU2YTTM,CUPERINOX - Caffettiera Induzione 6 Tazze Moka Acciaio Inox,25032,"19,405",350,5.16%,3.01%,"27,828",490,5.26%,2.94%,99.07%,99.11%,"1,614",119,8.32%,34.00%,"24.789,21 €","1.552,81 €","1,494",67
B0DNR9WPC6,B0DNNFGWNJ,"CUPERINOX Oliera in Vetro antigoccia per Olio di Oliva, Resistente e Facile da Pulire, Gourmet Oil Collection (500 ml)",22023,"8,986",225,2.39%,1.94%,"13,110",297,2.48%,1.78%,99.85%,99.45%,"1,364",71,15.18%,31.56%,"18.899,50 €","823,91 €","1,291",45
B0DNR9WPC6,B0DNN4J6Q8,"CUPERINOX Oliera in Vetro antigoccia per Olio di Oliva, Resistente e Facile da Pulire, Gourmet Oil Collection (125 ml)",22021,"14,746",338,3.92%,2.91%,"21,052",469,3.98%,2.81%,99.76%,99.67%,"1,488",73,10.09%,21.60%,"16.735,00 €","692,31 €","1,254",42
B0D8NPQRS1,B0CQTJ6T66,"CUPERINOX Coltelli da tavolo in acciaio inox – Set professionale 12 pezzi con lama segata da 11 cm e manico ergonomico antiscivolo – per carne, verdure e pesce",99922,"14,364",487,3.82%,4.19%,"19,745",705,3.73%,4.22%,97.91%,96.47%,"1,073",160,7.47%,32.85%,"12.355,30 €","1.566,60 €",836,75
B0D8NPQRS1,B0CQTKPL63,CUPERINOX coltelli carne da tavola | coltelli per carne | coltello bistecca | coltelli da bistecca | 24 pezzi | Lama segata | Acciaio inossidabile,99923,"7,962",517,2.12%,4.45%,"10,929",760,2.06%,4.55%,91.61%,89.00%,903,243,11.34%,47.00%,"16.958,13 €","4.034,90 €",488,105
B0843Q6L5P,B0843Q6L5P,ARCOS Pelapatate Professionale 130 mm in Acciaio Inossidabile Cromato per Pelare Frutta e Verdura – Utensile da Cucina per Tagli Sottili con Design Ergonomico – Colore Argento,607000_etq1,"6,290",293,1.67%,2.52%,"8,789",420,1.66%,2.52%,27.72%,11.80%,358,45,5.69%,15.36%,"2.352,59 €","253,49 €",300,24
B01N1S7I00,B00YU2ZWGG,CUPERINOX - Caffettiera Induzione 10 Tazze Moka Acciaio Inox,25034,"4,653",106,1.24%,0.91%,"6,556",172,1.24%,1.03%,96.57%,80.49%,292,18,6.28%,16.98%,"6.249,21 €","334,44 €",285,15
B09D3YRGL9,B09D3YRGL9, ,30061_,"6,000",73,1.60%,0.63%,"9,041",94,1.71%,0.56%,97.89%,92.98%,292,4,4.87%,5.48%,"2.879,39 €","34,56 €",284,4
B0BM3M53RQ,B089QP6MYJ,"Arcos - Set di coltelli da bistecca, 6 pezzi, in acciaio inox, lama 110 mm, manico monoblocco, adatti per lavastoviglie, confezione ecologica",815600_fba,"5,643",173,1.50%,1.49%,"8,324",275,1.57%,1.65%,99.91%,99.32%,303,27,5.37%,15.61%,"8.606,78 €","619,26 €",247,15
B0HDMPHS9C,B08NW1VQRT,"CUPERINOX coltello per funghi, in acciaio inox, con custodia, coltello incluso, coltello micologica",2181,"1,104",20,0.29%,0.17%,"1,641",26,0.31%,0.16%,99.40%,100.00%,249,6,22.55%,30.00%,"2.662,09 €","55,13 €",226,5
