ASIN (parent),ASIN (child),Título,SKU,Sesiones: total,Sesiones - Total - B2B,Porcentaje de sesiones: total,Porcentaje de sesiones: total - B2B,Visitas: total,Visitas - Total - B2B,Porcentaje de visitas: total,Porcentaje de visitas - Total - B2B,Porcentaje de ofertas destacadas (Buy Box),Porcentaje de ofertas destacadas: B2B,Unidades encargadas,Unidades encargadas - B2B,Porcentaje de unidades por sesión,Porcentaje de sesiones de unidades - B2B,Ventas de productos encargados,Ventas de productos encargados: B2B,Total de artículos de un pedido,Total de artículos de un pedido - B2B
B09KJLG7BT,B08KW4BFZ9,CUPERINOX Jamonero Profesional | Soporte jamonero Tipo Gondola| Base de Corte para Usar con Cuchillo jamonero | Jamon iberico | Fabricado en España,2020CUP,"4,710",70,0.83%,0.51%,"7,043",98,0.86%,0.49%,87.85%,75.00%,691,8,14.67%,11.43%,"9.664,07 €","109,49 €",688,8
B09NT4VRN7,B0812BKN39,Arcos Juego de Cuchillos Mondadores de 3 Piezas,859800_barras_arcos,"13,033",263,2.29%,1.91%,"18,145",379,2.21%,1.91%,27.65%,5.83%,636,2,4.88%,0.76%,"6.129,04 €","19,53 €",599,2
B0DPKXM18X,B0DNQT7LV3,"CUPERINOX Soporte Jamonero Balancín | Jamonero Giratorio Profesional | Jamonero Madera | Incluye Cuchillo Profesional, Afilador Funda Cubre Jamón| Jamoneros Elite Collection",20265_fbm,"10,822",290,1.90%,2.10%,"19,899",529,2.43%,2.66%,99.51%,99.39%,549,17,5.07%,5.86%,"45.957,33 €","1.379,83 €",543,15
B0DQV6381X,B0GCX89NVM,"CUPERINOX - Soporte Jamonero Profesional de Acero Inoxidable | Sistema Basculante y Cabezal Giratorio | Estabilidad, Corte Ergonómico y Fácil Limpieza | Apto para Jamones y Paletillas|Elite Collection",20280,"7,524",202,1.32%,1.46%,"13,059",346,1.59%,1.74%,99.78%,100.00%,354,16,4.70%,7.92%,"31.704,11 €","1.433,75 €",347,15
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,705500(805109),"10,077",235,1.77%,1.70%,"14,675",350,1.79%,1.76%,39.38%,13.18%,353,1,3.50%,0.43%,"4.010,60 €","11,33 €",311,1
B09DYJY471,B08MTCRCT4,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina | cuchillo japones Santoku | lavavajillas (5 Piezas),816800fbm,"8,960",166,1.57%,1.20%,"12,769",262,1.56%,1.32%,99.71%,99.33%,308,9,3.44%,5.42%,"9.223,42 €","263,91 €",306,9
B017HKSTCQ,B00CFN1M6Q,ARCOS Tijeras de Cocina Multiusos 200 mm,809700_,"3,909",132,0.69%,0.96%,"5,850",182,0.71%,0.92%,56.40%,51.91%,289,13,7.39%,9.85%,"3.454,63 €","149,12 €",280,10
B0F1N351DY,B072FGV2YH,Arcos Juego de 6 Cuchillos Mondadores Acero Inoxidable 100 mm,189100,"12,056",267,2.12%,1.94%,"17,925",410,2.19%,2.06%,26.58%,26.00%,274,0,2.27%,0.00%,"4.653,15 €","0,00 €",261,0
B08J488ZQG,B089QP6MYJ,Arcos Juego Cuchillos Carne | 6 Piezas | Cuchillos carne cuchillo chuleteros | cubiertos acero inoxidable | Hoja 110 mm | mango monobloque | aptos lavavajillas | Caja Envase Ecológico,815600_,"3,798",104,0.67%,0.75%,"6,121",186,0.75%,0.94%,99.61%,100.00%,281,42,7.40%,40.38%,"7.442,11 €","1.048,41 €",221,11
B0752X4WZ6,B017DLMFXS,ARCOS Pinzas para Emplatar Acero Inoxidable 200 mm,606300FBM,"4,464",108,0.78%,0.78%,"6,414",134,0.78%,0.67%,48.70%,51.85%,222,11,4.97%,10.19%,"2.553,33 €","124,44 €",214,9
B0CYTKGNPM,B0CW68KM18,Pelador de Cocina ARCOS - Hoja de Acero Inoxidable | Mango Ergonómico | Herramienta Versátil para Pelar Frutas y Verduras,607300_,"1,825",65,0.32%,0.47%,"2,504",90,0.31%,0.45%,95.37%,94.23%,216,14,11.84%,21.54%,"1.826,77 €","111,23 €",206,8
B017HKRCGK,B005LR7A1Y,ARCOS Bolsa para Cuchillos 100% Poliéster 460x275 mm,690200_,"2,550",57,0.45%,0.41%,"4,105",83,0.50%,0.42%,73.29%,71.43%,183,8,7.18%,14.04%,"2.881,73 €","123,92 €",181,8
B08MT437W9,B08MT437W9,Arcos Juego Cuchillos Cocina Profesionales| Cuchillos Cocina Profesional | 6 pzas | Cuchillos Acero Inoxidable Mango Negro | utensilios de cocina serie Niza | Apto lavavajillas,812900fbm,"4,681",74,0.82%,0.54%,"6,495",105,0.79%,0.53%,99.81%,100.00%,176,18,3.76%,24.32%,"5.712,60 €","584,82 €",176,18
B0DNNKT1W2,B0DNNFJ5J7,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (350 ml)",26110_,"3,139",59,0.55%,0.43%,"4,462",91,0.54%,0.46%,99.92%,100.00%,172,1,5.48%,1.69%,"2.486,48 €","14,99 €",165,1
B07YM65C6J,B007TS6HMQ,ARCOS Pinza para Pescado Acero Inoxidable,605000_caja,916,33,0.16%,0.24%,"1,332",51,0.16%,0.26%,99.29%,100.00%,162,6,17.69%,18.18%,"1.480,04 €","55,50 €",159,5
B08GSTDWTC,B08LVVQ3ZQ,"Arcos Serie Nova - Cuchillo para pelar, Acero Inoxidable NITRUM, Envase Ecológico, 3 colores Fucsia, Turquesa y Amarillo",703700_,"1,110",25,0.19%,0.18%,"1,720",34,0.21%,0.17%,99.93%,100.00%,167,11,15.05%,44.00%,"1.750,35 €","113,57 €",148,9
B0DNNL2TZQ,B0DNN57WC1,"CUPERINOX Aceitera de Cristal Antigoteo para Aceite de Oliva, Resistente y Fácil de Limpiar Gourmet Oil Collection (250 Ml)",22022_,"1,073",27,0.19%,0.20%,"1,503",37,0.18%,0.19%,99.85%,100.00%,151,9,14.07%,33.33%,"1.793,39 €","106,43 €",145,8
B0CYTKGNPM,B0843Q6L5P,ARCOS Pelador Profesional Acero Inoxidable Cromado 130 mm,607000_etq1,"2,516",133,0.44%,0.96%,"4,085",196,0.50%,0.99%,4.10%,2.11%,142,0,5.64%,0.00%,"886,64 €","0,00 €",140,0
B0BGRT2BVV,B09G9WBKPG,Arcos Juego de 6 Cuchillos de Mesa Chuleteros Hoja 110 mm Negro 705500,805109_uss,"10,077",235,1.77%,1.70%,"14,675",350,1.79%,1.76%,39.38%,13.18%,160,15,1.59%,6.38%,"1.846,45 €","172,50 €",138,11
B0DNNKT1W2,B0DNNJPRXB,"Cuperinox-Tetera de Cristal con Infusor para Té e Infusiones, Resistente al Calor y Compatible con Microondas ** - Infusion Prestige Collection (550 ml)",26111_,"2,242",35,0.39%,0.25%,"3,230",59,0.39%,0.30%,99.93%,100.00%,126,4,5.62%,11.43%,"2.135,96 €","65,01 €",126,4
B08M7BMR2S,B08LNRV6N6,"Arcos Afiladores, Afilador de Cuchillos de Mano, Hecho de ABS + TPE, Rodillos Cerámico y Carburo, Color Blanco y Negro",610624_fbm,"1,478",33,0.26%,0.24%,"1,857",42,0.23%,0.21%,98.41%,91.67%,117,4,7.92%,12.12%,"1.594,33 €","54,80 €",116,4
B089MW6B1B,B078JNZS9T,Arcos Estuche de 3 Cuchillos Básicos de Cocina. Pack de Cuchillos con Hoja de Acero Inoxidable y Mango de Polieximetileno Aptos para Lavavajillas. Serie Universal. Color Negro,807400_us,"5,198",95,0.91%,0.69%,"7,383",135,0.90%,0.68%,48.51%,53.75%,112,6,2.15%,6.32%,"4.874,28 €","257,94 €",110,5
